Location,Population Estimate (as of July 1) - 2018 - Both Sexes; Total,Population Estimate (as of July 1) - 2018 - Male; Total,Population Estimate (as of July 1) - 2018 - Female; Total,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - Under 5 years,Population Estimate (as of July 1) - 2018 - Male; Total - Under 5 years,Population Estimate (as of July 1) - 2018 - Female; Total - Under 5 years,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 5 to 9 years,Population Estimate (as of July 1) - 2018 - Male; Total - 5 to 9 years,Population Estimate (as of July 1) - 2018 - Female; Total - 5 to 9 years,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 10 to 14 years,Population Estimate (as of July 1) - 2018 - Male; Total - 10 to 14 years,Population Estimate (as of July 1) - 2018 - Female; Total - 10 to 14 years,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 15 to 19 years,Population Estimate (as of July 1) - 2018 - Male; Total - 15 to 19 years,Population Estimate (as of July 1) - 2018 - Female; Total - 15 to 19 years,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 20 to 24 years,Population Estimate (as of July 1) - 2018 - Male; Total - 20 to 24 years,Population Estimate (as of July 1) - 2018 - Female; Total - 20 to 24 years,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 25 to 29 years,Population Estimate (as of July 1) - 2018 - Male; Total - 25 to 29 years,Population Estimate (as of July 1) - 2018 - Female; Total - 25 to 29 years,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 30 to 34 years,Population Estimate (as of July 1) - 2018 - Male; Total - 30 to 34 years,Population Estimate (as of July 1) - 2018 - Female; Total - 30 to 34 years,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 35 to 39 years,Population Estimate (as of July 1) - 2018 - Male; Total - 35 to 39 years,Population Estimate (as of July 1) - 2018 - Female; Total - 35 to 39 years,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 40 to 44 years,Population Estimate (as of July 1) - 2018 - Male; Total - 40 to 44 years,Population Estimate (as of July 1) - 2018 - Female; Total - 40 to 44 years,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 45 to 49 years,Population Estimate (as of July 1) - 2018 - Male; Total - 45 to 49 years,Population Estimate (as of July 1) - 2018 - Female; Total - 45 to 49 years,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 50 to 54 years,Population Estimate (as of July 1) - 2018 - Male; Total - 50 to 54 years,Population Estimate (as of July 1) - 2018 - Female; Total - 50 to 54 years,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 55 to 59 years,Population Estimate (as of July 1) - 2018 - Male; Total - 55 to 59 years,Population Estimate (as of July 1) - 2018 - Female; Total - 55 to 59 years,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 60 to 64 years,Population Estimate (as of July 1) - 2018 - Male; Total - 60 to 64 years,Population Estimate (as of July 1) - 2018 - Female; Total - 60 to 64 years,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 65 to 69 years,Population Estimate (as of July 1) - 2018 - Male; Total - 65 to 69 years,Population Estimate (as of July 1) - 2018 - Female; Total - 65 to 69 years,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 70 to 74 years,Population Estimate (as of July 1) - 2018 - Male; Total - 70 to 74 years,Population Estimate (as of July 1) - 2018 - Female; Total - 70 to 74 years,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 75 to 79 years,Population Estimate (as of July 1) - 2018 - Male; Total - 75 to 79 years,Population Estimate (as of July 1) - 2018 - Female; Total - 75 to 79 years,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 80 to 84 years,Population Estimate (as of July 1) - 2018 - Male; Total - 80 to 84 years,Population Estimate (as of July 1) - 2018 - Female; Total - 80 to 84 years,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 85 years and over,Population Estimate (as of July 1) - 2018 - Male; Total - 85 years and over,Population Estimate (as of July 1) - 2018 - Female; Total - 85 years and over,Population Estimate (as of July 1) - 2018 - Both Sexes; Median age (years),Population Estimate (as of July 1) - 2018 - Male; Median age (years),Population Estimate (as of July 1) - 2018 - Female; Median age (years)
New Jersey,8908520,4352194,4556326,518628,264775,253853,533562,272563,260999,558614,284652,273962,557815,285910,271905,551030,279918,271112,583053,298333,284720,572786,289627,283159,581487,289065,292422,557813,276288,281525,602340,295037,307303,633534,307752,325782,646773,314715,332058,572558,273515,299043,451916,210670,241246,358182,161779,196403,253635,109439,144196,172501,69963,102538,202293,68193,134100,40,38.4,41.5
New Mexico,2095428,1037285,1058143,124246,63559,60687,134822,68731,66091,139941,71253,68688,139052,70927,68125,141547,73801,67746,145687,75744,69943,138148,71014,67134,133594,67882,65712,117190,58371,58819,119283,58819,60464,121582,59230,62352,139264,67201,72063,134883,63771,71112,121673,57135,64538,96211,45317,50894,64896,29911,34985,42238,18793,23445,41171,15826,25345,38.1,36.7,39.6
New York,19542209,9488430,10053779,1140442,583539,556903,1119326,572512,546814,1117870,571154,546716,1188292,603879,584413,1302338,651432,650906,1485577,744482,741095,1393216,696990,696226,1273063,629727,643336,1158801,568660,590141,1240014,604283,635731,1315115,636980,678135,1358693,654292,704401,1235928,588558,647370,1017063,473094,543969,792057,356719,435338,559571,239660,319911,388524,157447,231077,456319,155022,301297,39,37.5,40.5
North Carolina,10383620,5050861,5332759,610128,311910,298218,628094,319840,308254,664208,338549,325659,684178,347988,336190,697871,361197,336674,728562,366599,361963,664586,326859,337727,658604,320982,337622,637301,310152,327149,697294,340439,356855,680546,331494,349052,695970,332859,363111,647013,303496,343517,560023,257565,302458,450435,206138,244297,300671,133208,167463,192387,78846,113541,185749,62740,123009,38.9,37.4,40.4
North Dakota,760077,389350,370727,54695,27966,26729,50206,25625,24581,47648,24421,23227,47282,24564,22718,63579,33669,29910,61153,33240,27913,53647,29183,24464,49895,26543,23352,40507,21473,19034,39212,20341,18871,40793,20796,19997,48475,24494,23981,46348,23375,22973,37277,18996,18281,26945,13185,13760,18962,8816,10146,14657,6167,8490,18796,6496,12300,35.2,34.3,36.2
Ohio,11689442,5730718,5958724,694789,355502,339287,708148,362497,345651,737787,376608,361179,761897,389941,371956,758902,385682,373220,806886,408087,398799,738394,370754,367640,724205,360464,363741,666987,331082,335905,732526,362438,370088,752351,371161,381190,821402,399353,422049,790146,380035,410111,655007,310069,344938,495368,228317,267051,349819,153118,196701,238491,97875,140616,256337,87735,168602,39.4,38,40.8
Oklahoma,3943079,1953046,1990033,260429,133379,127050,267797,136879,130918,270110,137799,132311,264140,135937,128203,273690,142622,131068,280849,142960,137889,262369,132859,129510,261410,131328,130082,228978,114994,113984,232318,116160,116158,227992,112869,115123,255026,124388,130638,238418,114260,124158,199427,94101,105326,159219,73654,85565,112935,50372,62563,74776,31906,42870,73196,26579,46617,36.7,35.5,37.9
Oregon,4190713,2077494,2113219,234214,119974,114240,242575,124248,118327,249214,127567,121647,246835,126691,120144,265773,135675,130098,302744,154497,148247,293741,148604,145137,294348,148202,146146,265419,134395,131024,264308,133433,130875,248366,124054,124312,270029,130895,139134,274456,130881,143575,253268,120409,132859,194924,92538,102386,127826,59499,68327,78648,34920,43728,84025,31012,53013,39.4,38.4,40.5
Pennsylvania,12807060,6274660,6532400,702997,359863,343134,725614,370798,354816,755233,386299,368934,810300,413162,397138,815049,413748,401301,870748,445252,425496,830358,421425,408933,782766,391982,390784,715779,356053,359726,797593,395449,402144,855188,420607,434581,921795,448564,473231,888010,428520,459490,737898,350805,387093,572852,264616,308236,407338,179331,228007,283299,115731,167568,334243,112455,221788,40.8,39.1,42.4
Rhode Island,1057315,514332,542983,54413,27959,26454,54840,28058,26782,58821,30007,28814,71426,35539,35887,76616,38616,38000,76369,39169,37200,69862,35481,34381,65405,32742,32663,58781,29001,29780,66143,32082,34061,73227,35454,37773,76974,36852,40122,72184,34321,37863,57725,27378,30347,44870,20745,24125,30741,13476,17265,21066,8515,12551,27852,8937,18915,40.1,38.4,41.9
